Document,Title,Book,Author,URL,Classification,Language
2TH-3-KJBSBG.txt,2 Tesalonicenses 3,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2TH/3,Religious,Kanjobal
2TI-1-ENGNIV.txt,2 Timothy 1,New Testament (New International Version),,live.bible.is/ENGNIV/2TI/1,Religious,English
2TI-1-KJBSBG.txt,2 Timoteo 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2TI/1,Religious,Kanjobal
2TI-2-ENGNIV.txt,2 Timothy 2,New Testament (New International Version),,live.bible.is/ENGNIV/2TI/2,Religious,English
2TI-2-KJBSBG.txt,2 Timoteo 2,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2TI/2,Religious,Kanjobal
2TI-3-ENGNIV.txt,2 Timothy 3,New Testament (New International Version),,live.bible.is/ENGNIV/2TI/3,Religious,English
2TI-3-KJBSBG.txt,2 Timoteo 3,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2TI/3,Religious,Kanjobal
2TI-4-ENGNIV.txt,2 Timothy 4,New Testament (New International Version),,live.bible.is/ENGNIV/2TI/4,Religious,English
2TI-4-KJBSBG.txt,2 Timoteo 4,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/2TI/4,Religious,Kanjobal
3JN-1-ENGNIV.txt,3 John 1,New Testament (New International Version),,live.bible.is/ENGNIV/3JN/1,Religious,English
3JN-1-KJBSBG.txt,3 San Juan 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/3JN/1,Religious,Kanjobal
ACT-1-ENGNIV.txt,Acts 1,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/1,Religious,English
ACT-1-KJBSBG.txt,Hechos 1,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/1,Religious,Kanjobal
ACT-10-ENGNIV.txt,Acts 10,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/10,Religious,English
ACT-10-KJBSBG.txt,Hechos 10,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/10,Religious,Kanjobal
ACT-11-ENGNIV.txt,Acts 11,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/11,Religious,English
ACT-11-KJBSBG.txt,Hechos 11,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/11,Religious,Kanjobal
ACT-12-ENGNIV.txt,Acts 12,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/12,Religious,English
ACT-12-KJBSBG.txt,Hechos 12,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/12,Religious,Kanjobal
ACT-13-ENGNIV.txt,Acts 13,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/13,Religious,English
ACT-13-KJBSBG.txt,Hechos 13,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/13,Religious,Kanjobal
ACT-14-ENGNIV.txt,Acts 14,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/14,Religious,English
ACT-14-KJBSBG.txt,Hechos 14,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/14,Religious,Kanjobal
ACT-15-ENGNIV.txt,Acts 15,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/15,Religious,English
ACT-15-KJBSBG.txt,Hechos 15,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/15,Religious,Kanjobal
ACT-16-ENGNIV.txt,Acts 16,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/16,Religious,English
ACT-16-KJBSBG.txt,Hechos 16,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/16,Religious,Kanjobal
ACT-17-ENGNIV.txt,Acts 17,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/17,Religious,English
ACT-17-KJBSBG.txt,Hechos 17,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/17,Religious,Kanjobal
ACT-18-ENGNIV.txt,Acts 18,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/18,Religious,English
ACT-18-KJBSBG.txt,Hechos 18,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/18,Religious,Kanjobal
ACT-19-ENGNIV.txt,Acts 19,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/19,Religious,English
ACT-19-KJBSBG.txt,Hechos 19,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/19,Religious,Kanjobal
ACT-2-ENGNIV.txt,Acts 2,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/2,Religious,English
ACT-2-KJBSBG.txt,Hechos 2,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/2,Religious,Kanjobal
ACT-20-ENGNIV.txt,Acts 20,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/20,Religious,English
ACT-20-KJBSBG.txt,Hechos 20,New Testament (1989 Kanjobal Edition),,live.bible.is/KJBSBG/ACT/20,Religious,Kanjobal
ACT-21-ENGNIV.txt,Acts 21,New Testament (New International Version),,live.bible.is/ENGNIV/ACT/21,Religious,English
