Document,Title,Book,Author,URL,Classification
NUM-5-ENG.txt,Numbers 5,Old Testament (New International Version),,listen.bible.is/ENGNIV/NUM/5,Religious
NUM-5-KNJ.txt,Números 5,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/NUM/5,Religious
NUM-6-ENG.txt,Numbers 6,Old Testament (New International Version),,listen.bible.is/ENGNIV/NUM/6,Religious
NUM-6-KNJ.txt,Números 6,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/NUM/6,Religious
NUM-7-ENG.txt,Numbers 7,Old Testament (New International Version),,listen.bible.is/ENGNIV/NUM/7,Religious
NUM-7-KNJ.txt,Números 7,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/NUM/7,Religious
NUM-8-ENG.txt,Numbers 8,Old Testament (New International Version),,listen.bible.is/ENGNIV/NUM/8,Religious
NUM-8-KNJ.txt,Números 8,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/NUM/8,Religious
NUM-9-ENG.txt,Numbers 9,Old Testament (New International Version),,listen.bible.is/ENGNIV/NUM/9,Religious
NUM-9-KNJ.txt,Números 9,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/NUM/9,Religious
OBA-1-ENG.txt,Obadiah 1,Old Testament (New International Version),,listen.bible.is/ENGNIV/OBA/1,Religious
OBA-1-KNJ.txt,Abdías 1,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/OBA/1,Religious
PHM-1-ENG.txt,Philemon 1,New Testament (New International Version),,listen.bible.is/ENGNIV/PHM/1,Religious
PHM-1-KNJ.txt,Filemon 1,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PHM/1,Religious
PHP-1-ENG.txt,Philippians 1,New Testament (New International Version),,listen.bible.is/ENGNIV/PHP/1,Religious
PHP-1-KNJ.txt,Filipenses 1,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PHP/1,Religious
PHP-2-ENG.txt,Philippians 2,New Testament (New International Version),,listen.bible.is/ENGNIV/PHP/2,Religious
PHP-2-KNJ.txt,Filipenses 2,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PHP/2,Religious
PHP-3-ENG.txt,Philippians 3,New Testament (New International Version),,listen.bible.is/ENGNIV/PHP/3,Religious
PHP-3-KNJ.txt,Filipenses 3,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PHP/3,Religious
PHP-4-ENG.txt,Philippians 4,New Testament (New International Version),,listen.bible.is/ENGNIV/PHP/4,Religious
PHP-4-KNJ.txt,Filipenses 4,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PHP/4,Religious
PRO-1-ENG.txt,Proverbs 1,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/1,Religious
PRO-1-KNJ.txt,Proverbios 1,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/1,Religious
PRO-10-ENG.txt,Proverbs 10,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/10,Religious
PRO-10-KNJ.txt,Proverbios 10,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/10,Religious
PRO-11-ENG.txt,Proverbs 11,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/11,Religious
PRO-11-KNJ.txt,Proverbios 11,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/11,Religious
PRO-12-ENG.txt,Proverbs 12,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/12,Religious
PRO-12-KNJ.txt,Proverbios 12,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/12,Religious
PRO-13-ENG.txt,Proverbs 13,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/13,Religious
PRO-13-KNJ.txt,Proverbios 13,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/13,Religious
PRO-14-ENG.txt,Proverbs 14,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/14,Religious
PRO-14-KNJ.txt,Proverbios 14,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/14,Religious
PRO-15-ENG.txt,Proverbs 15,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/15,Religious
PRO-15-KNJ.txt,Proverbios 15,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/15,Religious
PRO-16-ENG.txt,Proverbs 16,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/16,Religious
PRO-16-KNJ.txt,Proverbios 16,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/16,Religious
PRO-17-ENG.txt,Proverbs 17,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/17,Religious
PRO-17-KNJ.txt,Proverbios 17,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/17,Religious
PRO-18-ENG.txt,Proverbs 18,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/18,Religious
PRO-18-KNJ.txt,Proverbios 18,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/18,Religious
PRO-19-ENG.txt,Proverbs 19,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/19,Religious
PRO-19-KNJ.txt,Proverbios 19,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/19,Religious
PRO-2-ENG.txt,Proverbs 2,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/2,Religious
PRO-2-KNJ.txt,Proverbios 2,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/2,Religious
PRO-20-ENG.txt,Proverbs 20,Old Testament (New International Version),,listen.bible.is/ENGNIV/PRO/20,Religious
PRO-20-KNJ.txt,Proverbios 20,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/PRO/20,Religious
